Altium Designer Pick and Place Locations
C:\Users\spider\Desktop\PT1000\DIOT_temperature_logger\Outputs\Pick Place\DIOT_temperature_logger_2024-09-12 00-50.csv

========================================================================================================================
File Design Information:

Date:       12.09.24
Time:       00:50
Revision:   2c1741a9be8781f3788f17de22d200b50670f9d8
Variant:    Standard MCU
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"BAT1","-100.0000","-100.0000","TopLayer","0"
"BATH1","99.7800","83.8500","TopLayer","0"
"C1","236.9800","-6.3500","TopLayer","270"
"C2","284.0800","85.9500","TopLayer","270"
"C3","292.5800","89.6500","TopLayer","270"
"C4","230.4800","-5.4500","TopLayer","180"
"C5","177.7800","36.0500","TopLayer","180"
"C6","177.7800","23.8500","TopLayer","180"
"C7","177.7800","45.8500","TopLayer","0"
"C8","157.5800","4.3500","TopLayer","180"
"C9","177.7800","30.3500","TopLayer","180"
"C10","152.0800","7.2500","TopLayer","0"
"C11","157.5800","1.8500","TopLayer","180"
"C12","146.7800","5.8500","TopLayer","180"
"C13","177.7800","47.5500","TopLayer","180"
"C14","167.8800","4.0500","TopLayer","180"
"C15","163.1800","-0.3500","TopLayer","270"
"C16","163.6800","12.6500","TopLayer","270"
"C17","165.1800","17.2500","TopLayer","90"
"C18","154.6800","32.6000","TopLayer","0"
"C19","110.5800","70.2500","TopLayer","0"
"C20","110.5800","68.0500","TopLayer","180"
"C21","154.6800","35.6500","TopLayer","0"
"C22","112.1800","75.6500","TopLayer","180"
"C23","112.1800","77.1500","TopLayer","180"
"C25","148.3800","86.5500","TopLayer","0"
"C26","148.2800","84.7500","TopLayer","0"
"C27","98.0800","74.8500","TopLayer","90"
"C28","113.8800","57.9500","TopLayer","90"
"C29","115.3800","57.9500","TopLayer","90"
"C30","136.0800","57.8500","TopLayer","90"
"C31","142.2800","77.4500","TopLayer","180"
"C32","112.1800","78.6500","TopLayer","0"
"C33","115.3800","61.0500","TopLayer","90"
"C34","110.8800","61.0500","TopLayer","270"
"C35","113.8800","61.0500","TopLayer","90"
"C36","109.3800","61.0500","TopLayer","270"
"C37","119.4050","84.2750","TopLayer","270"
"C38","131.6800","83.4500","TopLayer","180"
"C39","127.1800","58.9500","TopLayer","0"
"C40","115.3800","65.2500","TopLayer","90"
"C41","126.6800","83.4500","TopLayer","180"
"C42","132.1800","58.7500","TopLayer","0"
"C43","138.4800","58.5500","TopLayer","180"
"C44","115.8800","72.2500","TopLayer","270"
"C45","120.6800","58.9500","TopLayer","0"
"C46","142.5800","67.7500","TopLayer","90"
"C47","141.0800","73.2500","TopLayer","90"
"C48","141.4800","79.7500","TopLayer","90"
"C49","138.5800","56.6500","TopLayer","180"
"C50","8.3800","88.9000","TopLayer","0"
"C51","15.2550","75.5500","TopLayer","180"
"C52","70.5800","87.5500","TopLayer","90"
"C53","68.6800","87.5500","TopLayer","90"
"C54","70.7550","83.6500","TopLayer","0"
"C55","72.1800","78.4500","TopLayer","90"
"C56","79.1550","81.7000","TopLayer","180"
"C57","78.8800","78.3500","TopLayer","90"
"C58","77.4800","78.3500","TopLayer","90"
"C59","73.5800","76.8500","TopLayer","90"
"C60","8.3800","87.0000","TopLayer","0"
"C61","75.4800","74.9500","TopLayer","0"
"C67","4.7800","88.9000","TopLayer","0"
"C68","4.7800","-0.0500","TopLayer","0"
"C69","7.9800","46.2500","TopLayer","180"
"C70","96.7800","11.8500","TopLayer","180"
"C71","96.7800","42.0500","TopLayer","180"
"C72","7.8800","66.9500","TopLayer","180"
"C73","11.0800","66.1500","TopLayer","270"
"C74","33.8800","86.7504","TopLayer","270"
"C75","127.5800","3.9500","TopLayer","270"
"C76","122.3800","3.9500","TopLayer","270"
"C77","46.9800","83.9504","TopLayer","90"
"C78","46.9800","89.5500","TopLayer","270"
"C79","152.6801","10.7501","TopLayer","90"
"C80","158.0467","20.4500","TopLayer","270"
"C81","156.5467","20.4500","TopLayer","270"
"C82","159.8800","20.4500","TopLayer","270"
"C83","167.0800","26.7500","TopLayer","270"
"C84","170.2800","26.7500","TopLayer","270"
"C85","180.6800","21.7500","TopLayer","0"
"C86","149.8801","15.0501","TopLayer","270"
"C87","147.7801","15.0501","TopLayer","270"
"C88","188.3800","16.7500","TopLayer","180"
"C89","183.8800","13.4500","TopLayer","90"
"C90","184.9800","73.5500","TopLayer","0"
"C92","65.8800","85.4500","TopLayer","180"
"C93","186.7800","10.6500","TopLayer","0"
"C62A","46.0800","2.2750","TopLayer","90"
"C63A","54.3800","4.9750","TopLayer","270"
"C64A","55.9800","4.9750","TopLayer","270"
"C65A","54.3800","1.8750","TopLayer","90"
"C66A","57.7800","1.8750","TopLayer","0"
"C62B","78.4800","2.2750","TopLayer","90"
"C63B","86.7800","4.9750","TopLayer","270"
"C64B","88.3800","4.9750","TopLayer","270"
"C65B","86.7800","1.8750","TopLayer","90"
"C66B","90.1800","1.8750","TopLayer","0"
"C62C","46.0800","11.5750","TopLayer","90"
"C63C","54.3800","14.2750","TopLayer","270"
"C64C","55.9800","14.2750","TopLayer","270"
"C65C","54.3800","11.1750","TopLayer","90"
"C66C","57.7800","11.1750","TopLayer","0"
"C62D","78.4800","11.5750","TopLayer","90"
"C63D","86.7800","14.2750","TopLayer","270"
"C64D","88.3800","14.2750","TopLayer","270"
"C65D","86.7800","11.1750","TopLayer","90"
"C66D","90.1800","11.1750","TopLayer","0"
"C62E","46.0800","20.8750","TopLayer","90"
"C63E","54.3800","23.5750","TopLayer","270"
"C64E","55.9800","23.5750","TopLayer","270"
"C65E","54.3800","20.4750","TopLayer","90"
"C66E","57.7900","20.4750","TopLayer","0"
"C62F","78.4800","20.8750","TopLayer","90"
"C63F","86.7800","23.5750","TopLayer","270"
"C64F","88.3800","23.5750","TopLayer","270"
"C65F","86.7800","20.4750","TopLayer","90"
"C66F","90.1800","20.4750","TopLayer","0"
"C62G","46.0800","30.1750","TopLayer","90"
"C63G","54.3800","32.8750","TopLayer","270"
"C64G","55.9800","32.8750","TopLayer","270"
"C65G","54.3800","29.7750","TopLayer","90"
"C66G","57.7800","29.7750","TopLayer","0"
"C62H","78.4800","30.1750","TopLayer","90"
"C63H","86.7800","32.8750","TopLayer","270"
"C64H","88.3800","32.8750","TopLayer","270"
"C65H","86.7800","29.7750","TopLayer","90"
"C66H","90.1800","29.7750","TopLayer","0"
"C62I","46.0800","39.4750","TopLayer","90"
"C63I","54.3800","42.1750","TopLayer","270"
"C64I","55.9800","42.1750","TopLayer","270"
"C65I","54.3800","39.0750","TopLayer","90"
"C66I","57.7800","39.0750","TopLayer","0"
"C62J","78.4800","39.4750","TopLayer","90"
"C63J","86.7800","42.1750","TopLayer","270"
"C64J","88.3800","42.1750","TopLayer","270"
"C65J","86.7800","39.0750","TopLayer","90"
"C66J","90.1800","39.0750","TopLayer","0"
"C62K","46.0800","48.7750","TopLayer","90"
"C63K","54.3800","51.4750","TopLayer","270"
"C64K","55.9800","51.4750","TopLayer","270"
"C65K","54.3800","48.3750","TopLayer","90"
"C66K","57.7800","48.3750","TopLayer","0"
"C62L","78.4800","48.7750","TopLayer","90"
"C63L","86.7800","51.4750","TopLayer","270"
"C64L","88.3800","51.4750","TopLayer","270"
"C65L","86.7800","48.3750","TopLayer","90"
"C66L","90.1800","48.3750","TopLayer","0"
"C62M","46.0800","58.0750","TopLayer","90"
"C63M","54.3800","60.7750","TopLayer","270"
"C64M","55.9800","60.7750","TopLayer","270"
"C65M","54.3800","57.6750","TopLayer","90"
"C66M","57.7800","57.6750","TopLayer","0"
"C62N","78.4800","58.0750","TopLayer","90"
"C63N","86.7800","60.7750","TopLayer","270"
"C64N","88.3800","60.7750","TopLayer","270"
"C65N","86.7800","57.6750","TopLayer","90"
"C66N","90.1800","57.6750","TopLayer","0"
"C62O","46.0800","67.3500","TopLayer","90"
"C63O","54.3800","70.0500","TopLayer","270"
"C64O","55.9800","70.0500","TopLayer","270"
"C65O","54.3800","66.9500","TopLayer","90"
"C66O","57.7800","66.9500","TopLayer","0"
"C62P","78.4800","67.3750","TopLayer","90"
"C63P","86.7800","70.0750","TopLayer","270"
"C64P","88.3800","70.0750","TopLayer","270"
"C65P","86.7800","66.9750","TopLayer","90"
"C66P","90.1800","66.9750","TopLayer","0"
"D1","285.5796","89.6504","TopLayer","270"
"D2","234.8800","-7.7500","TopLayer","90"
"D3","146.7800","2.8500","TopLayer","0"
"D4","188.8800","21.0500","TopLayer","270"
"D5","146.7800","4.3500","TopLayer","0"
"D6","188.8800","7.3500","TopLayer","90"
"D7","188.8800","2.5500","TopLayer","270"
"D8","135.6800","86.8500","TopLayer","90"
"D9","148.5800","78.4500","TopLayer","270"
"D10","166.2800","78.4500","TopLayer","90"
"D11","111.8800","66.3500","TopLayer","0"
"D12","17.7800","82.3504","TopLayer","90"
"D13","24.3800","82.3504","TopLayer","90"
"D14","22.1800","82.3504","TopLayer","90"
"D15","19.9800","82.3504","TopLayer","90"
"D16","67.8800","81.9500","TopLayer","90"
"D17","17.7800","87.9500","TopLayer","90"
"D18","24.3800","87.9504","TopLayer","90"
"D19","22.1800","87.9504","TopLayer","90"
"D20","19.9800","87.9504","TopLayer","90"
"D21","7.9800","43.4500","TopLayer","270"
"D22","12.0800","62.1000","TopLayer","90"
"D23","183.0800","66.4500","TopLayer","90"
"D24","146.1800","9.9500","TopLayer","180"
"D25","180.6800","19.2500","TopLayer","0"
"D26","180.6800","16.9500","TopLayer","0"
"D27","146.1800","12.3500","TopLayer","180"
"D28","180.6800","14.6500","TopLayer","180"
"D29","180.6800","12.3500","TopLayer","180"
"D30","175.0550","84.9500","TopLayer","90"
"F1","14.0050","65.4500","TopLayer","180"
"FL1","186.2550","84.9501","TopLayer","180"
"IC1","289.9796","89.6504","TopLayer","0"
"IC2","230.4800","-7.7500","TopLayer","180"
"IC3","183.6800","49.7500","TopLayer","180"
"IC4","183.6800","37.9500","TopLayer","180"
"IC5","183.6800","43.9500","TopLayer","0"
"IC6","167.8800","7.3500","TopLayer","180"
"IC7","183.6800","32.4500","TopLayer","180"
"IC8","152.0800","3.7500","TopLayer","0"
"IC9","183.6800","25.9500","TopLayer","180"
"IC10","167.8800","0.7750","TopLayer","180"
"IC11","167.8800","12.6500","TopLayer","180"
"IC12","167.8800","17.2500","TopLayer","180"
"IC13","128.6800","71.2500","TopLayer","0"
"IC14","101.9800","72.0500","TopLayer","90"
"IC15","108.4800","64.8500","TopLayer","180"
"IC16","74.9800","81.9500","TopLayer","90"
"IC18","98.9550","15.4500","TopLayer","180"
"IC19","98.9800","45.4500","TopLayer","180"
"IC20","132.9800","24.4500","TopLayer","270"
"IC21","39.9800","81.2500","TopLayer","180"
"IC22","144.3800","47.6500","TopLayer","90"
"IC23","152.4800","15.0501","TopLayer","180"
"IC24","186.7800","13.1500","TopLayer","0"
"IC17A","50.3800","2.5750","TopLayer","270"
"IC17B","82.7800","2.5750","TopLayer","270"
"IC17C","50.3800","11.8750","TopLayer","270"
"IC17D","82.7800","11.8750","TopLayer","270"
"IC17E","50.3800","21.1750","TopLayer","270"
"IC17F","82.7800","21.1750","TopLayer","270"
"IC17G","50.3800","30.4750","TopLayer","270"
"IC17H","82.7800","30.4750","TopLayer","270"
"IC17I","50.3800","39.7750","TopLayer","270"
"IC17J","82.7800","39.7750","TopLayer","270"
"IC17K","50.3800","48.9750","TopLayer","270"
"IC17L","82.7800","49.0750","TopLayer","270"
"IC17M","50.3800","58.3750","TopLayer","270"
"IC17N","82.7800","58.3750","TopLayer","270"
"IC17O","50.3800","67.6500","TopLayer","270"
"IC17P","82.7800","67.6750","TopLayer","270"
"J1","235.9801","79.4879","TopLayer","0"
"J2","235.9800","79.4879","BottomLayer","180"
"J3","259.9796","-7.9396","TopLayer","180"
"J4","261.4800","87.8400","TopLayer","0"
"J5","252.9795","79.4879","TopLayer","0"
"J6","252.9800","79.4879","BottomLayer","180"
"J7","269.9796","79.4879","TopLayer","0"
"J8","269.9795","79.4879","BottomLayer","180"
"J9","286.9796","79.4879","TopLayer","0"
"J10","286.9795","79.4879","BottomLayer","180"
"J11","235.9801","51.4875","TopLayer","0"
"J12","235.9796","65.4875","TopLayer","0"
"J29","252.9801","51.4875","TopLayer","0"
"J30","252.9796","65.4875","TopLayer","0"
"J47","269.9801","51.4875","TopLayer","0"
"J48","269.9796","65.4875","TopLayer","0"
"J65","286.9801","51.4129","TopLayer","0"
"J66","286.9800","65.4875","TopLayer","0"
"J83","195.4801","36.9504","TopLayer","270"
"J84","206.7186","3.9500","TopLayer","90"
"J85","157.4925","77.5125","TopLayer","0"
"J86","141.5800","86.8500","TopLayer","90"
"J87","4.3350","77.4500","TopLayer","270"
"J88","0.5400","27.4500","TopLayer","90"
"J89","1.8351","65.5600","TopLayer","270"
"J90","203.4209","79.6347","TopLayer","270"
"JP1","161.9800","53.7200","TopLayer","180"
"L1","112.3800","57.9500","TopLayer","90"
"L2","112.3800","61.0500","TopLayer","270"
"L3","72.0800","87.5500","TopLayer","270"
"L5","7.8800","65.2500","TopLayer","180"
"L6","9.4800","62.1000","TopLayer","0"
"L7","30.7800","82.0504","TopLayer","0"
"L8","39.9800","86.7504","TopLayer","0"
"L9","168.6800","23.3500","TopLayer","0"
"L10","158.5800","15.0500","TopLayer","180"
"L4A","57.5800","4.9750","TopLayer","90"
"L4B","89.9800","4.9750","TopLayer","90"
"L4C","57.5800","14.2750","TopLayer","90"
"LD1","234.2800","90.4500","TopLayer","270"
"LD2","285.4800","-7.7500","TopLayer","270"
"LD3","143.2800","5.8500","TopLayer","180"
"L4D","89.9800","14.2750","TopLayer","90"
"LD4","2.8800","52.4500","TopLayer","0"
"LD5","2.8800","57.9500","TopLayer","0"
"LD6","150.5800","40.4500","TopLayer","180"
"LD7","150.5800","31.3000","TopLayer","180"
"LD8","150.5800","38.2000","TopLayer","180"
"LD9","150.5800","35.9000","TopLayer","180"
"LD10","150.5800","33.6000","TopLayer","180"
"L4E","57.5800","23.5750","TopLayer","90"
"L4F","89.9800","23.5750","TopLayer","90"
"L4G","57.5800","32.8750","TopLayer","90"
"L4H","89.9800","32.8750","TopLayer","90"
"L4I","57.5800","42.1750","TopLayer","90"
"L4J","89.9800","42.1750","TopLayer","90"
"L4K","57.5800","51.4750","TopLayer","90"
"L4L","89.9800","51.4750","TopLayer","90"
"L4M","57.5800","60.7750","TopLayer","90"
"L4N","89.9800","60.7750","TopLayer","90"
"L4O","57.5800","70.0500","TopLayer","90"
"L4P","89.9800","70.0750","TopLayer","90"
"P1","282.9800","40.3000","TopLayer","0"
"P2","253.9800","40.3000","TopLayer","0"
"P3","282.9800","27.3000","TopLayer","0"
"P4","253.9800","27.3000","TopLayer","0"
"P5","282.9800","14.3000","TopLayer","0"
"P6","253.9800","14.3000","TopLayer","0"
"P7","282.9800","1.3000","TopLayer","0"
"P8","252.9800","1.3000","TopLayer","0"
"P9","268.9800","40.3000","TopLayer","0"
"P10","239.9800","40.3000","TopLayer","0"
"P11","268.9800","27.3000","TopLayer","0"
"P12","239.9800","27.3000","TopLayer","0"
"P13","268.9800","14.3000","TopLayer","0"
"P14","239.9800","14.3000","TopLayer","0"
"P15","268.9800","1.3000","TopLayer","0"
"P16","239.9800","1.3000","TopLayer","0"
"Q1","113.5800","69.1500","TopLayer","270"
"Q2","114.6800","76.2500","TopLayer","90"
"Q3","75.5000","76.9000","TopLayer","0"
"R1","235.9796","90.4504","TopLayer","90"
"R2","283.1546","-7.7496","TopLayer","90"
"R3","238.3050","87.6500","TopLayer","270"
"R4","285.4800","-10.5500","TopLayer","270"
"R5","201.6800","56.0500","TopLayer","180"
"R6","201.6800","54.5500","TopLayer","180"
"R7","188.4800","48.1500","TopLayer","90"
"R8","201.6800","52.7500","TopLayer","180"
"R9","177.7800","49.1500","TopLayer","0"
"R10","201.6800","51.2500","TopLayer","180"
"R11","188.4800","51.0500","TopLayer","90"
"R12","201.6800","49.7500","TopLayer","180"
"R13","177.7800","50.6500","TopLayer","0"
"R14","201.6800","48.2500","TopLayer","180"
"R15","201.6800","40.5500","TopLayer","180"
"R16","201.6800","39.0500","TopLayer","180"
"R17","201.6800","37.5500","TopLayer","180"
"R18","201.6800","36.0500","TopLayer","180"
"R19","201.6800","34.1500","TopLayer","180"
"R20","201.6800","32.6500","TopLayer","180"
"R21","188.4800","39.1500","TopLayer","90"
"R22","177.8150","38.5850","TopLayer","0"
"R23","201.6800","30.4500","TopLayer","180"
"R24","201.6800","28.9500","TopLayer","180"
"R25","201.6800","27.2500","TopLayer","180"
"R26","201.6800","25.7500","TopLayer","180"
"R27","177.7800","44.3500","TopLayer","0"
"R28","161.9800","8.4500","TopLayer","180"
"R29","188.2800","31.1500","TopLayer","90"
"R30","161.9800","3.9500","TopLayer","0"
"R31","177.7800","31.8500","TopLayer","0"
"R32","146.7800","1.3500","TopLayer","0"
"R33","146.7800","-1.9500","TopLayer","180"
"R34","189.7800","33.7500","TopLayer","90"
"R35","157.5800","6.1500","TopLayer","180"
"R36","177.7800","33.3500","TopLayer","0"
"R37","173.6800","5.7500","TopLayer","0"
"R38","173.6800","4.2500","TopLayer","0"
"R39","146.7800","7.3500","TopLayer","180"
"R40","161.9800","5.4500","TopLayer","0"
"R41","188.2800","24.6500","TopLayer","90"
"R42","177.7800","25.3500","TopLayer","0"
"R43","161.9800","9.9500","TopLayer","0"
"R44","189.7800","27.4500","TopLayer","90"
"R45","177.7800","26.8500","TopLayer","0"
"R46","173.6800","8.7500","TopLayer","180"
"R47","173.6800","7.2500","TopLayer","180"
"R48","161.9800","6.9500","TopLayer","0"
"R49","181.5800","8.4500","TopLayer","180"
"R50","175.9800","2.4500","TopLayer","180"
"R51","175.9800","0.7500","TopLayer","180"
"R52","175.9800","-0.8500","TopLayer","180"
"R53","181.5800","6.2500","TopLayer","180"
"R54","173.6800","10.2500","TopLayer","0"
"R55","143.2800","7.3500","TopLayer","0"
"R56","162.7800","57.6500","TopLayer","180"
"R57","157.6800","31.1000","TopLayer","0"
"R58","154.6800","31.1000","TopLayer","0"
"R59","145.8800","62.0500","TopLayer","0"
"R60","145.8800","63.5500","TopLayer","0"
"R61","145.8800","65.0500","TopLayer","0"
"R62","145.8800","66.5500","TopLayer","0"
"R63","157.6800","34.1000","TopLayer","0"
"R64","124.9800","57.2500","TopLayer","270"
"R65","154.6800","34.1000","TopLayer","0"
"R66","149.2800","81.9500","TopLayer","90"
"R67","147.7800","81.9500","TopLayer","90"
"R68","147.7800","74.8500","TopLayer","270"
"R69","165.5800","74.8500","TopLayer","270"
"R70","167.0800","81.9500","TopLayer","90"
"R71","165.5800","81.9500","TopLayer","90"
"R72","149.2800","74.8500","TopLayer","270"
"R73","99.4000","-0.0500","TopLayer","0"
"R74","13.2000","-0.0500","TopLayer","180"
"R76","98.0800","69.2500","TopLayer","90"
"R77","135.8800","89.9500","TopLayer","180"
"R78","10.6800","48.9500","TopLayer","180"
"R79","11.9800","42.3500","TopLayer","180"
"R80","11.9800","44.5500","TopLayer","180"
"R81","10.6800","50.4500","TopLayer","180"
"R82","10.6800","51.9500","TopLayer","180"
"R83","10.6800","53.4500","TopLayer","180"
"R84","10.6800","54.9500","TopLayer","180"
"R85","10.6800","56.4500","TopLayer","180"
"R86","110.8800","57.9500","TopLayer","270"
"R87","10.6800","57.9500","TopLayer","180"
"R88","10.6800","59.4500","TopLayer","180"
"R89","112.5800","64.0500","TopLayer","270"
"R90","153.2800","62.4500","TopLayer","0"
"R91","153.2800","63.9500","TopLayer","0"
"R92","81.9800","84.8500","TopLayer","0"
"R93","81.9800","77.4250","TopLayer","0"
"R94","84.6800","81.2500","TopLayer","0"
"R95","65.8800","77.1500","TopLayer","0"
"R96","61.7800","82.5500","TopLayer","180"
"R97","61.7800","84.0500","TopLayer","180"
"R98","81.9800","80.2500","TopLayer","180"
"R99","8.3800","90.6000","TopLayer","180"
"R100","81.9800","78.8500","TopLayer","180"
"R101","61.7800","79.5500","TopLayer","180"
"R102","84.6800","82.5500","TopLayer","180"
"R103","61.7800","81.0500","TopLayer","180"
"R104","70.7800","80.4500","TopLayer","180"
"R105","81.9800","83.3500","TopLayer","180"
"R106","65.8800","75.6500","TopLayer","0"
"R107","81.9800","86.3500","TopLayer","180"
"R108","75.0800","87.5500","TopLayer","270"
"R109","76.5800","87.5500","TopLayer","270"
"R110","73.5800","87.5500","TopLayer","270"
"R111","68.9800","75.6500","TopLayer","0"
"R112","64.9800","81.0500","TopLayer","0"
"R113","61.7800","78.0500","TopLayer","180"
"R114","64.9800","82.5500","TopLayer","0"
"R115","61.7800","85.5500","TopLayer","180"
"R120","4.7800","90.6000","TopLayer","180"
"R121","4.7800","1.6500","TopLayer","180"
"R122","7.9800","11.2500","TopLayer","0"
"R123","105.5800","16.5000","TopLayer","180"
"R124","105.4800","46.5500","TopLayer","180"
"R125","108.5800","15.7500","TopLayer","180"
"R126","108.2800","45.7500","TopLayer","180"
"R127","105.5800","14.8500","TopLayer","180"
"R128","105.4800","44.9500","TopLayer","180"
"R137","-0.6200","68.2500","TopLayer","0"
"R138","4.1800","62.9500","TopLayer","0"
"R139","145.8800","70.0500","TopLayer","180"
"R140","7.7800","68.4500","TopLayer","0"
"R141","145.8800","71.5500","TopLayer","180"
"R142","145.8800","68.5500","TopLayer","0"
"R143","26.3800","82.5500","TopLayer","270"
"R144","51.6800","79.4500","TopLayer","0"
"R145","122.7550","10.2250","TopLayer","180"
"R146","127.2550","10.2250","TopLayer","180"
"R147","30.7800","89.9500","TopLayer","0"
"R148","143.7800","53.4500","TopLayer","90"
"R149","26.3800","85.5504","TopLayer","270"
"R150","27.9800","87.1504","TopLayer","90"
"R151","151.1800","10.7500","TopLayer","270"
"R152","149.7800","20.4500","TopLayer","90"
"R153","152.7801","20.4501","TopLayer","90"
"R154","154.1801","10.7501","TopLayer","90"
"R155","151.2801","20.4501","TopLayer","90"
"R156","147.4800","40.4500","TopLayer","0"
"R157","147.5800","31.3000","TopLayer","0"
"R158","147.4800","38.1500","TopLayer","0"
